"Name","Character","IsDefaultSkin","EnabledByCalendar","PurchasePrice","PurchaseUnlock","TID","Icon","Geometry","Texture","NormalMap","MaterialMap","EmissionMap","OpacityMap","Animation","AltAnimation","CameraDistance","ViewportWidth","ViewportHeight","CelebrateSfx","CelebrateSfxVolume","DeployEffect","AttackEffect","AttackEffect2","AttackEffectAlt","AttackEffect2Alt","HitEffect","DieEffect","AbilityTriggerEffect","SkinChangeEffect","ParticleEffect3D","GunBone","ShadowBone","ProjectileVis","RageProjectileVis","AbilityProjectileVis","SpawnedTroopAnimation","Environment","MakeCreator","ShadowScale","Tier","ThemeIcon","ThemeTID","ThemeYear","FeatureCustomModel","FeatureCustomTextures","FeatureCustomAnimations","FeatureCustomEffects","FeatureCustomSounds","FeatureCustomVoiceovers","FeatureCustomUnits","FeatureExtraAnimations","FeatureExtraEffects","FeatureExtraSounds"
"PrimalKing","Barbarian King","false","false",1500,"20120812T0800","TID_PRIMAL_KING","image/skin_icons/bk_primal_dl_opt.png","sc3d/barbking_primal_geo_dl_opt.scw","sc3d/barbking_primal_01_dl_opt.pvr","sc3d/barbking_primal_01_normal_dl_opt.pvr","sc3d/barbking_primal_01_material_dl_opt.pvr",,,"BarbarianKingPrimalSkin",,10000,225,225,"sfx/barbarian_king_scream_01.ogg",80,"Primal King Deploy","Barbarian King Attack",,,,,"Barbarian King Die","King Ability Effect",,,,"hips_s",,,,,,,,"GOLD",,,,"true","true","true","true","false","false","false","false","false","false"
"ClockworkKing","Barbarian King","false","false",1500,"20210501T0800","TID_CLOCKWORK_KING","image/skin_icons/bk_clockwork_dl_opt.png","sc3d/barbking_clockwork_geo_dl_opt.scw","sc3d/barbking_clockwork_01_dl_opt.pvr","sc3d/barbking_clockwork_01_normal_dl_opt.pvr","sc3d/barbking_clockwork_01_material_dl_opt.pvr",,,"BarbarianKingClockworkSkin",,10000,225,225,"sfx/bk_wood_scream_01_dl_opt.ogg",80,"Clockwork King Deploy","Clockwork King Attack",,,,,"Clockwork King Die","King Ability Effect",,,,"hips_s",,,,,,,,"GOLD",,,,"true","true","true","false","true","true","false","false","false","false"
"PartyKing","Barbarian King","false","false",1500,"20210801T0800","TID_PARTY_KING","image/skin_icons/bk_party_dl_opt.png","sc3d/barbking_party_geo_dl_opt.scw","sc3d/barbking_party_01_dl_opt.pvr","sc3d/barbking_party_01_normal_dl_opt.pvr","sc3d/barbking_party_01_material_dl_opt.pvr",,,"BarbarianKingPartySkin",,10000,225,225,,,"Party King Deploy","Party King Attack",,,,,"Party King Die","Party King Ability Effect",,,,"hips_s",,,,,,,,"GOLD","image/theme_icons/party_icon_dl_opt.png","TID_SKIN_THEME_ANNIVERSARY",2020,"true","true","true","false","true","true","false","false","false","false"
"ChampionKing","Barbarian King","false","false",0,,"TID_CHAMPION_KING","image/skin_icons/bk_champion_dl_opt.png","sc3d/barbking_champ_geo_dl_opt.scw","sc3d/barbking_champ_01_dl_opt.pvr",,"sc3d/barbking_champ_01_material_dl_opt.pvr",,,"BarbarianKingChampionSkin",,10000,225,225,"sfx/gladchampkingpose_01_dl_opt.ogg",80,"Champion King Spawn Effect Offset","Champion King Attack",,,,"Champion King hit","Barbarian King Die","Champion King Ability Effect","Champion King Spawn Effect",,,"hips_s",,,,"BarbarianChamp",,,,"LEGENDARY","image/theme_icons/champion_icon_dl_opt.png","TID_SKIN_THEME_WORLDS",2020,"true","true","true","true","true","true","true","false","false","false"
"PirateKing","Barbarian King","false","false",1500,"20211101T0800","TID_PIRATE_KING","image/skin_icons/bk_pirate_dl_opt.png","sc3d/barbking_pirate_geo_dl_opt.scw","sc3d/barbking_pirate_01_dl_opt.pvr",,"sc3d/barbking_pirate_01_material_dl_opt.pvr",,,"BarbarianKingPirateSkin",,10000,225,225,,,"Pirate King Deploy","Pirate King Attack",,,,,"Barbarian King Die","Pirate King Ability Effect",,,,"hips_s",,,,,,,,"GOLD",,,,"true","true","true","false","true","true","false","false","false","false"
"GladiatorQueen","Archer Queen","false","false",1500,"20120812T0800","TID_ARCHER_QUEEN_GLADIATOR","image/skin_icons/aq_gladiator_dl_opt.png","sc3d/archerqueen_gladiator_geo_dl_opt.scw","sc3d/archerqueen_gladiator_01_dl_opt.pvr",,"sc3d/archerqueen_gladiator_01_material_dl_opt.pvr",,,"ArcherQueenGladiatorSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,"hips_s",,,,,,,,"GOLD",,,,"true","true","false","false","false","false","false","false","false","false"
,,,,,,,,,,,,,,,,,,,"sfx/archer_queen_deploy_01.ogg",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ValkyrieQueen","Archer Queen","false","false",1500,"20120812T0800","TID_VALKYRIE_QUEEN","image/skin_icons/aq_valkyrie_dl_opt.png","sc3d/archerqueen_valkyrie_geo_dl_opt.scw","sc3d/archerqueen_valkyrie_01_dl_opt.pvr",,"sc3d/archerqueen_valkyrie_01_material_dl_opt.pvr",,,"ArcherQueenValkyrieSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,"hips_s",,,,,,,,"GOLD",,,,"true","true","false","false","false","false","false","false","false","false"
,,,,,,,,,,,,,,,,,,,"sfx/archer_queen_deploy_01.ogg",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AutumnQueen","Archer Queen","false","false",1500,"20120812T0800","TID_AUTUMN_QUEEN","image/skin_icons/aq_autumn_dl_opt.png","sc3d/archerqueen_autumn_geo_dl_opt.scw","sc3d/archerqueen_autumn_01_dl_opt.pvr","sc3d/archerqueen_autumn_01_normal_dl_opt.pvr","sc3d/archerqueen_autumn_01_material_dl_opt.pvr",,,"ArcherQueenAutumnSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect","Autumn Spawn Effect",,,"hips_s",,,,,,,,"GOLD",,,,"true","true","false","true","false","false","false","false","false","false"
,,,,,,,,,,,,,,,,,,,"sfx/archer_queen_deploy_01.ogg",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IceQueen","Archer Queen","false","false",1500,"20120812T0800","TID_ICE_QUEEN","image/skin_icons/aq_ice_dl_opt.png","sc3d/archerqueen_ice_geo_dl_opt.scw","sc3d/archerqueen_ice_01_dl_opt.pvr",,"sc3d/archerqueen_ice_01_material_dl_opt.pvr","sc3d/archerqueen_ice_01_emission_dl_opt.pvr",,"ArcherQueenIceSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Ice Ability Effect","Ice Spawn Effect",,,"hips_s",,,,,,,,"GOLD",,,,"true","true","true","true","false","false","false","false","false","false"
,,,,,,,,,,,,,,,,,,,"sfx/archer_queen_deploy_01.ogg",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WarriorQueen","Archer Queen","false","false",0,,"TID_WARRIOR_QUEEN","image/skin_icons/aq_cny_01_dl_opt.png","sc3d/archerqueen_cny_geo_dl_opt.scw","sc3d/archerqueen_cny_01_dl_opt.pvr",,"sc3d/archerqueen_cny_01_material_dl_opt.pvr",,,"ArcherQueenCnySkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"CNY Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","CNY Ability Effect",,,,"hips_s","ArcherQueenCNY arrow","ArcherQueenCNY arrow rage",,,,,,"LEGENDARY","image/theme_icons/lunar_ny_icon_dl_opt.png","TID_SKIN_THEME_LNY",2020,"true","true","true","true","true","false","false","false","false","false"
"PrimalQueen","Archer Queen","false","false",1500,"20210301T0800","TID_PRIMAL_QUEEN","image/skin_icons/aq_primal_dl_opt.png","sc3d/archerqueen_primal_geo_dl_opt.scw","sc3d/archerqueen_primal_01_dl_opt.pvr","sc3d/archerqueen_primal_01_normal_dl_opt.pvr","sc3d/archerqueen_primal_01_material_dl_opt.pvr",,,"ArcherQueenPrimalSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,"hips_s",,,,,,,,"GOLD",,,,"true","true","true","false","false","false","false","false","false","false"
"ClockworkQueen","Archer Queen","false","false",1500,"20210601T0800","TID_CLOCKWORK_QUEEN","image/skin_icons/aq_clockwork_dl_opt.png","sc3d/archerqueen_clockwork_geo_dl_opt.scw","sc3d/archerqueen_clockwork_01_dl_opt.pvr","sc3d/archerqueen_clockwork_01_normal_dl_opt.pvr","sc3d/archerqueen_clockwork_01_material_dl_opt.pvr",,,"ArcherQueenClockworkSkin",,10000,225,225,"sfx/wood_queen_scream_01_dl_opt.ogg",90,"Wood Archer Queen Deploy","Wood ArcherQueen Attack",,,,,"Wood Archer Queen Die","Queen Ability Effect",,,,"hips_s",,,,,,,,"GOLD",,,,"true","true","true","true","true","true","false","false","false","false"
"PirateQueen","Archer Queen","false","false",1500,"20210901T0800","TID_PIRATE_QUEEN","image/skin_icons/aq_pirate_dl_opt.png","sc3d/archerqueen_pirate_geo_dl_opt.scw","sc3d/archerqueen_pirate_01_dl_opt.pvr","sc3d/archerqueen_pirate_01_normal_dl_opt.pvr","sc3d/archerqueen_pirate_01_material_dl_opt.pvr",,,"ArcherQueenPirateSkin",,10000,225,225,"sfx/archer_queen_scream_01.ogg",90,"Archer Queen Deploy","ArcherQueen Attack",,,,,"Archer Queen Die","Queen Ability Effect",,,,"hips_s",,,,,,,,"GOLD",,,,"true","true","true","false","false","false","false","false","false","false"
"PartyWarden","Grand Warden","false","false",1500,"20120812T0800","TID_PARTY_WARDEN","image/skin_icons/gw_party_dl_opt.png","sc3d/grandwarden_party_geo_dl_opt.scw","sc3d/grandwarden_party_01_dl_opt.pvr",,"sc3d/grandwarden_party_01_material_dl_opt.pvr",,,"GrandWardenPartySkin","GrandWardenFlyPartySkin",10000,225,225,"sfx/pwdeploy01_dl_opt.ogg",90,"Party Warden Deploy","Party Warden Attack",,"Party Warden Attack Air",,,"Party Warden Die",,,,"L_gunbone_01_s","hips_s",,,,,,,,"GOLD","image/theme_icons/party_icon_dl_opt.png","TID_SKIN_THEME_ANNIVERSARY",2019,"true","true","true","false","true","true","false","false","false","false"
"PrimalWarden","Grand Warden","false","false",1500,"20120812T0800","TID_PRIMAL_WARDEN","image/skin_icons/gw_primal_dl_opt.png","sc3d/grandwarden_primal_geo_dl_opt.scw","sc3d/grandwarden_primal_01_dl_opt.pvr",,"sc3d/grandwarden_primal_01_material_dl_opt.pvr",,,"GrandWardenPrimalSkin","GrandWardenFlyPrimalSkin",10000,225,225,"sfx/tap_grand_warden_04.ogg",90,"Grand Warden Deploy","GrandWarden Attack",,"GrandWarden Attack Air",,,"Grand Warden Die",,,,"L_gunbone_01_s","hips_s",,,,,,,,"GOLD",,,,"true","true","false","false","false","false","false","false","false","false"
"ClockworkWarden","Grand Warden","false","false",1500,"20210401T0800","TID_CLOCKWORK_WARDEN","image/skin_icons/gw_clockwork_dl_opt.png","sc3d/grandwarden_clockwork_geo_dl_opt.scw","sc3d/grandwarden_clockwork_01_dl_opt.pvr","sc3d/grandwarden_clockwork_01_normal_dl_opt.pvr","sc3d/grandwarden_clockwork_01_material_dl_opt.pvr","sc3d/grandwarden_clockwork_01_emission_dl_opt.pvr",,"GrandWardenClockworkSkin","GrandWardenFlyClockworkSkin",10000,225,225,"sfx/wooden_warden_tap_01_dl_opt.ogg",90,"Wood Warden Deploy","ClockworkWarden Attack",,"ClockworkWarden Attack Air",,,"Wood Warden Die",,,"clockwork_glow","L_gunbone_01_s","hips_s",,,,,,,,"GOLD",,,,"true","true","true","true","true","true","false","false","false","false"
"GladiatorWarden","Grand Warden","false","false",1500,"20210701T0800","TID_GRAND_WARDEN_GLADIATOR","image/skin_icons/gw_gladiator_dl_opt.png","sc3d/grandwarden_gladiator_geo_dl_opt.scw","sc3d/grandwarden_gladiator_01_dl_opt.pvr","sc3d/grandwarden_gladiator_01_normal_dl_opt.pvr","sc3d/grandwarden_gladiator_01_material_dl_opt.pvr",,,"GrandWardenGladiatorSkin","GrandWardenFlyGladiatorSkin",10000,225,225,,,"Grand Warden Deploy","GladiatorWarden Attack",,"GladiatorWarden Attack Air",,,"Grand Warden Die",,,,"L_gunbone_01_s","hips_s",,,,,,,,"GOLD",,,,"true","true","true","false","false","false","false","false","false","false"
"PirateWarden","Grand Warden","false","false",1500,"20211001T0800","TID_PIRATE_WARDEN","image/skin_icons/gw_pirate_dl_opt.png","sc3d/grandwarden_pirate_geo_dl_opt.scw","sc3d/grandwarden_pirate_01_dl_opt.pvr","sc3d/grandwarden_pirate_01_normal_dl_opt.pvr","sc3d/grandwarden_pirate_01_material_dl_opt.pvr",,,"GrandWardenPirateSkin","GrandWardenFlyPirateSkin",10000,225,225,"sfx/tap_grand_warden_04.ogg",90,"Grand Warden Deploy","PirateWarden Attack",,"PirateWarden Attack2",,,"Grand Warden Die",,,,"L_gunbone_01_s","hips_s",,,,,,,,"GOLD",,,,"true","true","true","false","false","false","false","false","false","false"
"NorthWarden","Grand Warden","false","false",1500,"20220101T0800","TID_WARDEN_OF_THE_NORTH","image/skin_icons/gw_winter_dl_opt.png","sc3d/grandwarden_winter_geo_dl_opt.scw","sc3d/grandwarden_winter_01_dl_opt.pvr","sc3d/grandwarden_winter_01_normal_dl_opt.pvr","sc3d/grandwarden_winter_01_material_dl_opt.pvr",,,"GrandWardenWinterSkin","GrandWardenFlyWinterSkin",10000,225,225,"sfx/tap_grand_warden_04.ogg",90,"Grand Warden Deploy","GrandWarden Attack",,"GrandWarden Attack Air",,,"Grand Warden Die",,,,"particle_jnt","hips_s",,,,,,,,"GOLD",,,,"true","true","true","false","false","false","false","false","false","false"
"JungleWarden","Grand Warden","false","false",1500,"20220501T0800","TID_JUNGLE_WARDEN","image/skin_icons/gw_jungle_dl_opt.png","sc3d/grandwarden_jungle_geo_dl_opt.glb","sc3d/grandwarden_jungle_a_dl_opt.pvr","sc3d/grandwarden_jungle_n_dl_opt.pvr","sc3d/grandwarden_jungle_m_dl_opt.pvr",,,"GrandWardenJungleSkin","GrandWardenFlyJungleSkin",10000,225,225,"sfx/tap_grand_warden_04.ogg",90,"Grand Warden Deploy","GrandWarden Attack",,"GrandWarden Attack Air",,,"Grand Warden Die",,,,"particle_jnt","hips_s",,,,,,,,"GOLD",,,,"true","true","true","false","false","false","false","false","false","false"
"MasterWarden","Grand Warden","false","false",1500,"20221001T0800","TID_MASTER_WARDEN","image/skin_icons/gw_kungfu_dl_opt.png","sc3d/grandwarden_kungfu_geo_dl_opt.glb","sc3d/grandwarden_kungfu_a_dl_opt.pvr","sc3d/grandwarden_kungfu_n_dl_opt.pvr","sc3d/grandwarden_kungfu_m_dl_opt.pvr",,,"GrandWardenKungfuSkin","GrandWardenFlyKungfuSkin",10000,225,225,"sfx/tap_grand_warden_04.ogg",90,"Grand Warden Deploy","KungfuWarden Attack",,"KungfuWarden Attack Air",,,"Grand Warden Die",,,,"leafs_s","hips_s",,,,,,,,"GOLD",,,,"true","true","true","false","false","false","false","false","false","false"
"WarriorPrincessDefault","Warrior Princess","true","false",0,,"TID_HERO_ROYAL_CHAMPION","image/skin_icons/rc_original.png","sc3d/royalchampion_default_geo.glb","sc3d/royalchampion_default_a.pvr","sc3d/royalchampion_default_n.pvr","sc3d/royalchampion_default_m.pvr",,,"WarriorPrincessDefaultSkin",,10000,225,225,"sfx/rg_alert_01.ogg",90,"Royal Champion Deploy","Warrior Princess Attack",,,,,"Royal Champion Die","Champion Ability Effect",,,"L_weapon_01_s","hips_s",,,,,,,,"DEFAULT",,,,"false","false","false","false","false","false","false","false","false","false"
"WinterChampion","Warrior Princess","false","false",1500,"20211201T0800","TID_WINTER_CHAMPION","image/skin_icons/rc_winter_dl_opt.png","sc3d/royalchampion_winter_geo_dl_opt.scw","sc3d/royalchampion_winter_01_dl_opt.pvr","sc3d/royalchampion_winter_01_normal_dl_opt.pvr","sc3d/royalchampion_winter_01_material_dl_opt.pvr",,,"WarriorPrincessWinterSkin",,10000,225,225,"sfx/rg_alert_01.ogg",90,"Royal Champion Deploy","Warrior Princess Attack",,,,,"Royal Champion Die","Champion Ability Effect",,,"L_gunbone_01_s","hips_s","RoyalChampionWinter spear",,"AmazonQueen_shield_winter",,,,,"GOLD",,,,"true","true","true","false","false","false","false","false","false","false"
"RogueChampion","Warrior Princess","false","false",1500,"20220401T0800","TID_ROGUE_CHAMPION","image/skin_icons/rc_rogue_dl_opt.png","sc3d/royalchampion_rogue_geo_dl_opt.glb","sc3d/royalchampion_rogue_01_dl_opt.pvr","sc3d/royalchampion_rogue_01_normal_dl_opt.pvr","sc3d/royalchampion_rogue_01_material_dl_opt.pvr",,,"WarriorPrincessRogueSkin",,10000,225,225,"sfx/rg_alert_01.ogg",90,"Royal Champion Deploy","Warrior Princess Attack",,,,,"Royal Champion Die","Champion Ability Effect",,,"L_weapon_01_s","hips_s","RoyalChampionRogue spear",,"AmazonQueen_shield_rogue",,,,,"GOLD",,,,"true","true","true","false","false","false","false","false","false","false"
"JungleChampion","Warrior Princess","false","false",0,,"TID_JUNGLE_CHAMPION","image/skin_icons/rc_jungle_dl_opt.png","sc3d/royalchampion_jungle_geo_dl_opt.glb","sc3d/royalchampion_jungle_01_dl_opt.pvr","sc3d/royalchampion_jungle_01_normal_dl_opt.pvr","sc3d/royalchampion_jungle_01_material_dl_opt.pvr",,,"WarriorPrincessJungleSkin",,10000,225,225,"sfx/rg_alert_01.ogg",90,"Royal Champion Deploy","Warrior Princess Attack",,,,,"Royal Champion Die","Champion Ability Effect",,,"L_weapon_01_s","hips_s","RoyalChampionJungle spear",,"RoyalChampionJungle shield",,,,,"BASIC",,,,"true","true","true","false","false","false","false","false","false","false"
"GladiatorChampion","Warrior Princess","false","false",1500,"20220901T0800","TID_GLADIATOR_CHAMPION","image/skin_icons/rc_champion_dl_opt.png","sc3d/royalchampion_electro_geo_dl_opt.glb","sc3d/royalchampion_electro_a_dl_opt.pvr","sc3d/royalchampion_electro_n_dl_opt.pvr","sc3d/royalchampion_electro_m_dl_opt.pvr","sc3d/royalchampion_electro_e_dl_opt.pvr",,"WarriorPrincessElectroSkin",,10000,225,225,"sfx/rg_alert_01.ogg",90,"Royal Champion Deploy","Warrior Princess Attack",,,,,"Royal Champion Die","Champion Ability Effect",,,"L_weapon_01_s","hips_s","RoyalChampionGladiator spear",,"RoyalChampionGladiator shield",,,,,"GOLD",,,,"true","true","true","false","false","false","false","false","false","false"
"ShadowChampion","Warrior Princess","false","false",1500,"20230301T0800","TID_SHADOW_CHAMPION","image/skin_icons/rc_dark_dl_opt.png","sc3d/royalchampion_dark_geo_dl_opt.glb","sc3d/royalchampion_dark_a_dl_opt.pvr","sc3d/royalchampion_dark_n_dl_opt.pvr","sc3d/royalchampion_dark_m_dl_opt.pvr","sc3d/royalchampion_dark_e_dl_opt.pvr",,"WarriorPrincessDarkSkin",,10000,225,225,,,"Royal Champion Deploy","DRC Attack",,,,,"Royal Champion Die","Champion Ability Effect",,,"L_weapon_01_s","hips_s","RoyalChampionDark spear",,"RoyalChampionDark shield",,,,,"GOLD",,,,"true","true","true","false","false","false","false","false","false","false"
"PrimalChampion","Warrior Princess","false","false",0,,"TID_PRIMAL_CHAMPION","image/skin_icons/rc_primal_dl_opt.png","sc3d/royalchampion_prc_geo_dl_opt.glb","sc3d/royalchampion_prc_a_dl_opt.pvr","sc3d/royalchampion_prc_n_dl_opt.pvr","sc3d/royalchampion_prc_m_dl_opt.pvr","sc3d/royalchampion_prc_e_dl_opt.pvr",,"WarriorPrincessPRCSkin",,10000,225,225,,,"Primal Champion Deploy","Primal Champion Attack",,,,,"Primal Champion Die","Primal Champion Ability Effect",,,"L_weapon_01_s","hips_s","RoyalChampionPrimal spear",,"RoyalChampionPrimal shield",,,,,"LEGENDARY",,,,"true","true","true","true","true","false","false","false","false","false"
"SummerChampion","Warrior Princess","false","false",0,,"TID_SUMMER_CHAMPION","image/skin_icons/rc_summer_dl_opt.png","sc3d/royalchampion_summer_geo_dl_opt.glb","sc3d/royalchampion_summer_a_dl_opt.pvr","sc3d/royalchampion_summer_n_dl_opt.pvr","sc3d/royalchampion_summer_m_dl_opt.pvr",,,"WarriorPrincessSummerSkin",,10000,225,225,,,"Summer Champion Deploy","Summer Champion Attack",,,,,"Summer Champion Die","Summer Champion Ability Effect",,,"L_weapon_01_s","hips_s","RoyalChampionSummer spear",,"RoyalChampionSummer shield",,,,,"BASIC",,,,"true","true","true","false","false","false","false","false","false","false"
"PixelChampion","Warrior Princess","false","false",0,,"TID_PIXEL_CHAMPION","image/skin_icons/rc_pixel_dl_opt.png","sc3d/royalchampion_pixel_geo_dl_opt.glb","sc3d/royalchampion_pixel_a_dl_opt.pvr","sc3d/royalchampion_pixel_a_dl_opt.pvr","sc3d/royalchampion_pixel_m_dl_opt.pvr","sc3d/royalchampion_pixel_a_dl_opt.pvr",,"WarriorPrincessPixelSkin",,10000,225,225,,,"Pixel Champion Spawn Effect","Pixel Champion Attack",,,,,"Pixel Champion Die","Pixel Champion Ability Effect",,,"L_weapon_01_s","hips_s","RoyalChampionPixel spear",,"RoyalChampionPixel shield",,,,,"LEGENDARY",,,,"true","true","true","true","true","false","false","false","false","false"
